accession,subtype,host,host_source,country,collection_date,isolation_source,seq_technology,st_confidence,seq_length,cluster_top,cluster_subtype,cluster_variant,st_status,human_report,st_note,dist_from_medoid,potential_novel_variant,novel_variant_reason
AY590108.1,ST7,Homo sapiens,host_qualifier,Unknown,Unknown,Unknown,Unknown,medium,2840,17,22,33,accepted,True,Primarily birds/poultry,0.004569701875035801,False,
AY590107.1,ST7,Homo sapiens,host_qualifier,Unknown,Unknown,Unknown,Unknown,high,2840,17,22,32,accepted,True,Primarily birds/poultry,0.009156924124364562,False,
AY590106.1,ST7,Homo sapiens,host_qualifier,Unknown,Unknown,Unknown,Unknown,high,2840,17,22,33,accepted,True,Primarily birds/poultry,0.00686896615926237,False,
AY590105.1,ST7,Homo sapiens,host_qualifier,Unknown,Unknown,Unknown,Unknown,high,2840,17,22,33,accepted,True,Primarily birds/poultry,0.005723034255872938,False,
AY618268.1,ST3,Homo sapiens,Unknown,Thailand: Chonburi province,Unknown,Unknown,Unknown,high,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,0.005071870554222834,False,
AY618266.1,ST1,Homo sapiens,Unknown,Thailand: Luburi province,Unknown,Unknown,Unknown,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.0009868422476399764,False,
AY266474.1,ST3,Cyclura cornuta (rhino iguana),host_qualifier,Singapore,Unknown,Unknown,Unknown,low,2840,30,40,53,accepted,True,Most prevalent globally; IBS-D association,0.0905834599126773,True,d_medoid=0.0906 > 0.0867
AY266471.1,ST35,Lapemis hardwickii (sea snake),host_qualifier,Singapore,Unknown,Unknown,Unknown,low,2840,19,27,39,accepted,True,Human isolate 168; Nanopore full-length validated,0.16093408505611392,False,
AY266469.1,ST5,Bufo japonicus japonicus (toad),Unknown,Japan,Unknown,Unknown,Unknown,medium,2840,46,79,152,accepted,True,Predominantly pigs; zoonotic in humans,0.004538591762516451,False,
AY266467.1,ST35,Rana nigromaculata (leopard frog),Unknown,Japan,Unknown,Unknown,Unknown,low,2840,23,32,44,accepted,True,Human isolate 168; Nanopore full-length validated,0.1491492306153157,False,
AF408427.1,ST7,Homo sapiens,host_qualifier,Singapore,Unknown,Unknown,Unknown,high,2840,17,22,32,accepted,True,Primarily birds/poultry,0.011751779326311131,False,
AY244620.1,ST4,Homo sapiens,host_qualifier,Germany,Unknown,Unknown,Unknown,high,2840,35,52,73,accepted,True,Europe-dominant; possible immunoprotective role,0.0016146400208258173,False,
AY244619.1,ST4,Homo sapiens,host_qualifier,Germany,Unknown,Unknown,Unknown,high,2840,35,52,73,accepted,True,Europe-dominant; possible immunoprotective role,0.000806885500097344,False,
AB071000.1,ST4,Brown,note,Unknown,Unknown,Unknown,Unknown,high,2840,35,52,74,accepted,True,Europe-dominant; possible immunoprotective role,0.005666513733337126,False,
AB070999.1,ST5,Sus scrofa,note,Unknown,Unknown,Unknown,Unknown,high,2840,46,79,152,accepted,True,Predominantly pigs; zoonotic in humans,0.0022455106594535834,False,
AB070998.1,ST5,Sus scrofa,note,Unknown,Unknown,Unknown,Unknown,high,2840,46,79,152,accepted,True,Predominantly pigs; zoonotic in humans,0.0016835023903678963,False,
AB070997.1,ST2,Japanese,note,Unknown,Unknown,Unknown,Unknown,medium,2840,52,93,194,accepted,True,Common in humans; urticaria association,0.003947377533205983,False,
AB070996.1,ST7,Japanese,note,Unknown,Unknown,Unknown,Unknown,high,2840,17,22,32,accepted,True,Primarily birds/poultry,0.012309116275070846,False,
AB070995.1,ST6,Japanese,note,Unknown,Unknown,Unknown,Unknown,high,2840,12,12,15,accepted,True,Primarily birds/poultry,0.00399867658300968,False,
AB070994.1,ST6,Gallus gallus,note,Unknown,Unknown,Unknown,Unknown,high,2840,12,12,15,accepted,True,Primarily birds/poultry,0.002997006985036482,False,
AB070992.1,ST3,Homo sapiens,note,Unknown,Unknown,Unknown,Unknown,medium,2840,38,56,79,accepted,True,Most prevalent globally; IBS-D association,0.03587640470562259,False,
AB070991.1,ST7,Homo sapiens,note,Unknown,Unknown,Unknown,Unknown,medium,2840,17,22,32,accepted,True,Primarily birds/poultry,0.013460821223127566,False,
AB070989.1,ST1,Homo sapiens,note,Unknown,Unknown,Unknown,Unknown,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,-0.0,False,
AB070988.1,ST3,Homo sapiens,note,Unknown,Unknown,Unknown,Unknown,high,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,0.0007966012432375673,False,
AB070986.1,ST3,Homo sapiens,note,Unknown,Unknown,Unknown,Unknown,high,2840,38,59,90,accepted,True,Most prevalent globally; IBS-D association,0.0007972363227431369,False,
AF538349.1,ST1,Equus caballus,host_qualifier,Thailand,Unknown,Unknown,Unknown,low,2840,61,117,258,accepted,True,Most prevalent globally; IBS association,0.04331100130132573,False,
AF439782.2,ST1,Homo sapiens,host_qualifier,Thailand,Unknown,Unknown,Unknown,medium,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.001980852917729419,False,
AB023578.1,ST1,Homo sapiens,organism,Unknown,Unknown,Unknown,Unknown,medium,2840,59,107,223,accepted,True,Most prevalent globally; IBS association,0.028134578106093912,False,
AB023499.1,ST1,Homo sapiens,organism,Unknown,Unknown,Unknown,Unknown,high,2840,59,107,223,accepted,True,Most prevalent globally; IBS association,0.025069178743391516,False,
U51152.1,ST4,Guinea-pig,host_qualifier,Unknown,Unknown,Unknown,Unknown,high,2840,35,52,73,accepted,True,Europe-dominant; possible immunoprotective role,-0.0,False,
U51151.1,ST1,Homo sapiens,host_qualifier,Unknown,Unknown,Unknown,Unknown,high,2840,59,108,241,accepted,True,Most prevalent globally; IBS association,0.0009868422476399764,False,
U26177.1,ST4,Faeces,note,Unknown,Unknown,Unknown,Unknown,high,2840,35,52,74,accepted,True,Europe-dominant; possible immunoprotective role,0.007293412418996058,False,
PZ726877.1,novel_9,Castor fiber,Unknown,Czechia,2026,Unknown,Sanger,novel_cluster,2840,11,11,13,novel,False,,,False,
PZ726876.1,novel_9,Castor fiber,Unknown,Czechia,2026,Unknown,Sanger,novel_cluster,2840,11,11,14,novel,False,,,False,
PX663658.1,novel_6,Homo sapiens,Unknown,Iraq: Erbil,Dec-2024,Unknown,Sanger,novel_cluster,2840,38,59,87,novel,False,,,False,
PX663657.1,novel_6,Homo sapiens,Unknown,Iraq: Erbil,Dec-2024,Unknown,Sanger,novel_cluster,2840,38,59,87,novel,False,,,False,
PX663630.1,novel_10,Homo sapiens,Unknown,Iraq: Erbil,Dec-2024,Unknown,Sanger,novel_cluster,2840,59,107,223,novel,False,,,False,
PX663510.1,novel_10,Homo sapiens,Unknown,Iraq: Erbil,Dec-2024,Unknown,Sanger,novel_cluster,2840,59,107,223,novel,False,,,False,
PX663509.1,ST_unassigned,Homo sapiens,Unknown,Iraq: Erbil,Dec-2024,Unknown,Sanger,unplaced,2840,38,59,101,unassigned,False,,0.14011459657410513,False,
PX658848.1,novel_11,Homo sapiens,Unknown,Iraq: Erbil,Dec-2024,Unknown,Sanger,novel_cluster,2840,38,59,107,novel,False,,,False,
PX642479.1,ST_unassigned,Homo sapiens,Unknown,Iraq: Erbil,Apr-2025,Unknown,Sanger,unplaced,2840,60,116,257,unassigned,False,,0.1318250134980251,False,
PX642478.1,ST_unassigned,Homo sapiens,Unknown,Iraq: Erbil,Apr-2025,Unknown,Sanger,unplaced,2840,38,61,110,unassigned,False,,0.1519678658122749,False,
PV329864.1,novel_7,Unknown,unknown,Spain,2023,human feces,Sanger,novel_cluster,2840,38,59,90,novel,False,,0.007650687955711,False,
MK880050.1,ST_unassigned,Guaruba guarouba,Unknown,Brazil,Unknown,feces,Sanger,unplaced,2840,17,24,36,unassigned,False,,0.17086756140398043,False,
OR227930.1,novel_12,Homo sapiens,Unknown,Unknown,Unknown,Unknown,Sanger,novel_cluster,2840,37,54,77,novel,False,,,False,
OQ693814.1,novel_13,African spurred tortoise,Unknown,Thailand,2022,Unknown,Sanger,novel_cluster,2840,51,91,191,novel,False,,,False,
OQ693759.1,ST_unassigned,iguana,Unknown,Thailand,2022,Unknown,Sanger,unplaced,2840,27,37,50,unassigned,False,,0.1587789676393952,False,
OQ693732.1,novel_13,African spurred tortoise,Unknown,Thailand,2022,Unknown,Sanger,novel_cluster,2840,51,91,191,novel,False,,,False,
OQ691628.1,novel_12,Homo sapiens,Unknown,Unknown,Unknown,Unknown,Sanger,novel_cluster,2840,37,54,77,novel,False,,,False,
OQ691627.1,ST_unassigned,Homo sapiens,Unknown,Unknown,Unknown,Unknown,Sanger,unplaced,2840,66,122,263,unassigned,False,,0.15511732862682878,False,
OQ594881.1,ST_unassigned,Homo sapiens,Unknown,Iraq: salahaddin,Dec-2022,stool,Sanger,unplaced,2840,64,120,261,unassigned,False,,0.24379599331815416,False,
OQ363210.1,ST_unassigned,Unknown,Unknown,Unknown,Unknown,Unknown,Sanger,unplaced,2840,67,123,264,unassigned,False,,0.33211567098894995,False,
OQ192091.1,novel_14,Homo sapiens,Unknown,Argentina,Unknown,fecal samples,Sanger,novel_cluster,2840,38,59,90,novel,False,,,False,
MZ783085.1,novel_14,Unknown,unknown,Argentina,2019,Unknown,Sanger,novel_cluster,2840,38,59,90,novel,False,,,False,
MK375221.1,novel_3,Sus scrofa,Unknown,China: Yunnan,Unknown,feces of farmed pigs,Unknown,novel_cluster,2840,46,79,155,novel,False,,0.006807178010194442,False,
MN264522.1,ST_unassigned,Felis catus domesticus,Unknown,Iran,Jul-2017,feces,Sanger,unplaced,2840,49,88,181,unassigned,False,,-0.0,False,
MN264519.1,novel_7,Felis catus domesticus,Unknown,Iran,Jul-2017,feces,Sanger,novel_cluster,2840,38,59,90,novel,False,,0.008379975448593893,False,
MN264518.1,novel_15,Felis catus domesticus,Unknown,Iran,Jul-2017,feces,Sanger,novel_cluster,2840,59,107,222,novel,False,,,False,
MN264516.1,ST_unassigned,Canis lupus familiaris,Unknown,Iran,Jul-2017,feces,Sanger,unplaced,2840,15,17,22,unassigned,False,,0.1562535018474232,False,
MN264512.1,ST_unassigned,Canis lupus familiaris,Unknown,Iran,Jul-2017,feces,Sanger,unplaced,2840,52,93,201,unassigned,False,,0.12699172668773626,False,
MN264511.1,novel_15,Rattus norvegicus,Unknown,Iran,Jul-2017,feces,Sanger,novel_cluster,2840,59,107,222,novel,False,,,False,
MN264510.1,novel_7,Rattus norvegicus,Unknown,Iran,Jul-2017,feces,Sanger,novel_cluster,2840,38,59,90,novel,False,,-0.0,False,
MK880049.1,novel_8,Gallus gallus,Unknown,"Brazil: UFMG, Belo Horizonte",Unknown,feces,Sanger,Unknown,2840,17,22,34,novel,False,,0.016904925151440812,False,
MH104988.1,novel_3,Sus scrofa,host_qualifier,Thailand,Unknown,Unknown,Sanger,novel_cluster,2840,46,79,141,novel,False,,0.015514451072844652,False,
MH104987.1,novel_3,Sus scrofa,host_qualifier,Thailand,Unknown,Unknown,Sanger,novel_cluster,2840,46,79,150,novel,False,,-0.0,False,
MH104983.1,novel_3,Sus scrofa,host_qualifier,Thailand,Unknown,Unknown,Sanger,novel_cluster,2840,46,79,150,novel,False,,0.003822881803500879,False,
MH104973.1,novel_3,Sus scrofa,Unknown,Thailand,Unknown,Unknown,Sanger,novel_cluster,2840,46,79,164,novel,False,,0.018405831687088245,False,
MH104965.1,ST_unassigned,Unknown,unknown,Thailand,Unknown,Unknown,Sanger,unplaced,2840,43,74,129,unassigned,False,,0.09771239881546118,False,
MH104963.1,ST_unassigned,Unknown,unknown,Thailand,Unknown,Unknown,Sanger,unplaced,2840,65,121,262,unassigned,False,,0.16245797270444007,False,
MH104954.1,ST_unassigned,Unknown,unknown,Thailand,Unknown,Unknown,Sanger,unplaced,2840,43,73,128,unassigned,False,,0.10412733364066186,False,
MH104951.1,ST_unassigned,Unknown,unknown,Thailand,Unknown,Unknown,Sanger,unplaced,2840,44,75,130,unassigned,False,,0.11237494249712288,False,
MH104950.1,ST_unassigned,Unknown,unknown,Thailand,Unknown,Unknown,Sanger,unplaced,2840,45,76,131,unassigned,False,,0.11864592430683552,False,
KT438715.1,novel_1,Unknown,Unknown,Japan,24-Jul-2012,Platysternon megacephalum megacephalum,Sanger,Unknown,2840,18,25,37,novel,False,,0.0005576208435308641,False,
KT438713.1,novel_1,Unknown,Unknown,Japan,24-May-2012,Platysternon megacephalum megacephalum,Sanger,Unknown,2840,18,25,37,novel,False,,0.0005576208435308641,False,
KT438711.1,novel_1,Carettochelys insculpta,Unknown,Japan,21-May-2012,Carettochelys insculpta,Sanger,Unknown,2840,18,25,37,novel,False,,-0.0,False,
KT438710.1,novel_2,Testudo graeca,Unknown,Japan,10-Jun-2012,Geochelone elegans,Sanger,novel_cluster,2840,26,35,47,novel,False,,-0.0,False,
KT438709.1,novel_2,Geochelone elegans,Unknown,Japan,24-May-2012,Testudo graeca,Sanger,novel_cluster,2840,26,35,47,novel,False,,0.0011456943224688388,False,
KT438708.1,novel_2,Geochelone elegans,Unknown,Japan,21-May-2012,Geochelone elegans,Sanger,novel_cluster,2840,26,35,47,novel,False,,-0.0,False,
KT438707.1,novel_2,Stigmochelys pardalis,Unknown,Japan,07-Nov-2012,Astrochelys radiata,Sanger,novel_cluster,2840,26,35,48,novel,False,,0.013857207125679838,False,
KT438706.1,novel_2,Astrochelys radiata,Unknown,Japan,21-May-2012,Astrochelys radiata,Sanger,novel_cluster,2840,26,35,47,novel,False,,0.0034423468348301726,False,
KT438705.1,novel_2,Agrionemys horsfieldii,Unknown,Japan,21-May-2012,Kinixys homeana,Sanger,novel_cluster,2840,26,35,47,novel,False,,0.0022918276046084134,False,
KR262945.1,ST_unassigned,long-tailed macaque,Unknown,China,01-Apr-2015,Unknown,Sanger,unplaced,2840,63,119,260,unassigned,False,,0.21470744313228446,False,
KU051524.1,ST_unassigned,Homo sapiens,Unknown,Thailand,Unknown,Unknown,PacBio,unplaced,2840,38,59,108,unassigned,False,,0.14655148453149336,False,
KM216260.1,novel_4,Homo sapiens,Unknown,Unknown,Unknown,Unknown,Sanger,novel_cluster,2840,35,52,74,novel,False,,0.007853474900471525,False,
EU427512.1,novel_5,Macropus rufus (red kangaroo),Unknown,Unknown,Unknown,Unknown,Unknown,novel_cluster,2840,36,53,76,novel,False,,,False,
EU427514.1,novel_5,Macropus rufus (red kangaroo),Unknown,Unknown,Unknown,Unknown,Unknown,novel_cluster,2840,36,53,76,novel,False,,,False,
EF209018.1,novel_2,Geochelone carbonaria,Unknown,Czech Republic,Unknown,Unknown,Unknown,novel_cluster,2840,26,35,47,novel,False,,0.0011773942763400134,False,
EF209016.1,ST_unassigned,Geochelone radiata,Unknown,Czech Republic,Unknown,Unknown,Unknown,unplaced,2840,9,9,11,unassigned,False,,0.1645625922571594,False,
AY135410.1,novel_16,Unknown,Unknown,Unknown,Unknown,chicken feces,Unknown,novel_cluster,2840,15,17,22,novel,False,,,False,
AY135409.1,novel_16,Unknown,Unknown,Unknown,Unknown,chicken feces,Unknown,novel_cluster,2840,15,18,23,novel,False,,,False,
AM275394.1,ST_unassigned,Homo sapiens,organism,Denmark,01-May-2005,Unknown,Unknown,unplaced,2840,15,18,24,unassigned,False,,0.15588691136677202,False,
AM275393.1,novel_4,Homo sapiens,organism,Denmark,01-May-2005,Unknown,Unknown,novel_cluster,2840,35,52,73,novel,False,,-0.0,False,
AM275392.1,novel_4,Homo sapiens,organism,Denmark,01-May-2005,Unknown,Unknown,novel_cluster,2840,35,52,73,novel,False,,-0.0,False,
AM275391.1,novel_4,Homo sapiens,organism,Denmark,01-May-2005,Unknown,Unknown,novel_cluster,2840,35,52,73,novel,False,,-0.0,False,
AM275389.1,novel_4,Homo sapiens,organism,Denmark,01-May-2005,Unknown,Unknown,novel_cluster,2840,35,52,73,novel,False,,-0.0,False,
AM275364.1,novel_8,Homo sapiens,organism,Denmark,01-May-2005,Unknown,Unknown,novel_cluster,2840,17,22,33,novel,False,,-0.0,False,
AM275363.1,ST_unassigned,Homo sapiens,organism,Denmark,01-May-2005,Unknown,Unknown,unplaced,2840,16,20,26,unassigned,False,,0.14986681215468228,False,
AM275362.1,novel_8,Homo sapiens,organism,Denmark,01-May-2005,Unknown,Unknown,novel_cluster,2840,17,22,33,novel,False,,0.0038634985628472535,False,
AY590116.1,ST_unassigned,lizard,host_qualifier,Unknown,Unknown,Unknown,Unknown,unplaced,2840,30,40,53,unassigned,False,,0.1327426288478108,False,
AY590115.1,ST_unassigned,sea snake,host_qualifier,Unknown,Unknown,Unknown,Unknown,unplaced,2840,19,27,39,unassigned,False,,0.1698525406557228,False,
AY590112.1,novel_1,python,host_qualifier,Unknown,Unknown,Unknown,Unknown,novel_cluster,2840,18,25,37,novel,False,,0.000572956483174555,False,
AY266475.1,ST_unassigned,Cyclura cornuta (rhino iguana),Unknown,Singapore,Unknown,Unknown,Unknown,unplaced,2840,18,26,38,unassigned,False,,0.1420672972486992,False,
AY266473.1,ST_unassigned,Geochelone carbonaria (red-footed tortoise),Unknown,Singapore,Unknown,Unknown,Unknown,unplaced,2840,6,6,8,unassigned,False,,0.18788582117867958,False,
AY266470.1,novel_17,Bufo japonicus japonicus (toad),Unknown,Japan,Unknown,Unknown,Unknown,novel_cluster,2840,5,5,7,novel,False,,,False,
AY266468.1,novel_17,Rana catesbeiana (bullfrog),Unknown,Japan,Unknown,Unknown,Unknown,novel_cluster,2840,5,5,7,novel,False,,,False,
AF538348.1,ST_unassigned,Sus scrofa,host_qualifier,Thailand,Unknown,Unknown,Unknown,unplaced,2840,59,114,255,unassigned,False,,0.10388920060167124,False,
